302,Zack Moss,RB,5,64.5
303,Brock Wright,TE,4.5,63.6
304,Tutu Atwell,WR,5.3,63.2
304,Trenton Irwin,WR,7,63.2
306,Chicago Bears,DST,3.6,62
307,Harrison Bryant,TE,4.4,61.7
308,A.J. Green,WR,4.7,61.6
308,Shi Smith,WR,3.6,61.6
310,Trey McBride,TE,5.1,61.5
311,Kylen Granson,TE,4.7,61.2
312,Mike White,QB,15.1,60.6
313,Jarvis Landry,WR,6.7,60.2
314,Matt Breida,RB,3.5,59.8
315,Cooper Rush,QB,7.5,59.6
316,Gus Edwards,RB,6.6,59.3
317,Zonovan Knight,RB,8.4,59
318,Justin Watson,WR,3.4,58.5
319,Ray-Ray McCloud III,WR,3.4,58.1
320,Braxton Berrios,WR,3.4,57.7
321,Kadarius Toney,WR,6.4,57.3
322,Kendall Hinton,WR,5.1,56.4
323,C.J. Uzomah,TE,4,56.2
324,J.D. McKissic,RB,6.2,55.8
325,Irv Smith Jr.,TE,6.9,55.2
326,MyCole Pruitt,TE,5.5,55
327,Ameer Abdullah,RB,3.4,54.1
328,Mo Alie-Cox,TE,3.9,53.9
329,Kyle Juszczyk,RB,4.1,53.6
330,Rashod Bateman,WR,8.9,53.5
331,Tyler Huntley,QB,10.6,53
332,Tre'Quan Smith,WR,5.3,52.8
333,Tommy Tremble,TE,3.5,52.4
334,Robbie Chosen,WR,4.4,52.2
335,Rashaad Penny,RB,10.4,52.2
336,Jonnu Smith,TE,4.3,52
337,Damiere Byrd,WR,4.3,51.8
338,Phillip Dorsett II,WR,3.4,51.7
339,Wan'Dale Robinson,WR,8.6,51.6
340,Joe Flacco,QB,10.3,51.3
341,Michael Thomas,WR,17,51.1
342,Justin Jackson,RB,3.4,51.1
343,Mark Ingram II,RB,5,50.1
344,Jameis Winston,QB,16.3,48.9
345,Dare Ogunbowale,RB,3.2,48.7
346,Jake Ferguson,TE,4.4,48.4
347,Brandon Powell,WR,2.8,47.6
348,DeeJay Dallas,RB,3.1,47.2
349,Sammy Watkins,WR,5.2,46.5
350,Boston Scott,RB,3.1,46.2
351,Jarrett Stidham,QB,15.2,45.6
352,David Bell,WR,3,45.4
353,Caleb Huntley,RB,3.7,44.9
354,Adam Trautman,TE,3.4,44.7
355,Elijah Mitchell,RB,8.7,43.6
356,Skyy Moore,WR,2.7,43.4
357,Travis Homer,RB,3.6,43.1
358,Raheem Blackshear,RB,3.3,43
359,Ty Johnson,RB,3.6,42.8
360,Bailey Zappe,QB,10.7,42.6
361,Ashton Dulin,WR,4.3,42.5
